City,2000,2005,2010,2013,2014,2015,2016,2017,2018
 Guangzhou,4531,5240,6969,4811,4767,4644,4660,4661,4675
 Shenzhen,1834,5214,8249,6523,6355,6539,6627,7943,7950
 Zhuhai,771,992,1347,1054,1008,1023,1048,1163,1170
 Shantou,794,1490,2580,1845,1808,1771,1846,1988,1988
 Foshan,2180,5148,7684,6163,5883,5787,5671,6212,6206
 Shaoguan,406,392,559,556,622,628,593,536,552
 Heyuan,148,226,440,436,513,575,589,602,617
 Meizhou,371,392,521,368,396,440,458,461,474
 Huizhou,689,1243,1853,1702,1815,1893,2140,2366,2376
 Shanwei,94,179,452,251,246,238,242,237,246
 Dongguan,1663,4504,5899,5361,5377,5688,5869,7669,7704
 Zhongshan,1074,3291,5063,2973,2963,3045,3089,3211,3212
 Jiangmen,1599,2365,3246,2007,1961,2036,1998,2112,2157
 Yangjiang,250,498,596,569,564,571,557,542,543
 Zhanjiang,458,578,850,772,789,828,833,866,891
 Maoming,447,590,792,844,850,957,978,1026,1061
 Zhaoqing,981,684,1131,1086,1083,1110,1100,1163,1175
 Qingyuan,304,426,813,514,580,611,621,644,653
 Chaozhou,326,727,1245,865,871,890,885,923,923
 Jieyang,455,714,2525,1884,1971,2030,1991,1956,1955
 Yunfu,320,264,604,621,732,830,914,943,949
